"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Escobar, Eduardo","500871","2022","542","372",0.24,0.243,-0.0030000000000000027,0.43,0.427,0.0030000000000000027,0.311,0.314,-0.0030000000000000027
"Canha, Mark","592192","2022","542","369",0.266,0.245,0.02100000000000002,0.403,0.362,0.041000000000000036,0.343,0.323,0.020000000000000018
"Kirk, Alejandro","672386","2022","541","416",0.285,0.278,0.006999999999999951,0.415,0.431,-0.016000000000000014,0.347,0.351,-0.0040000000000000036
"Estrada, Thairo","642731","2022","541","405",0.26,0.246,0.014000000000000012,0.4,0.352,0.04800000000000004,0.317,0.299,0.018000000000000016
"LeMahieu, DJ","518934","2022","541","399",0.261,0.274,-0.013000000000000012,0.377,0.403,-0.026000000000000023,0.329,0.344,-0.014999999999999958
"Grichuk, Randal","545341","2022","538","381",0.259,0.229,0.03,0.425,0.37,0.05499999999999999,0.315,0.281,0.033999999999999975
"Hernández, Teoscar","606192","2022","535","347",0.267,0.265,0.0020000000000000018,0.491,0.501,-0.010000000000000009,0.348,0.351,-0.0030000000000000027
"Wisdom, Patrick","621550","2022","534","289",0.207,0.188,0.01899999999999999,0.426,0.38,0.045999999999999985,0.316,0.295,0.02100000000000002
"Melendez, MJ","669004","2022","534","336",0.217,0.237,-0.01999999999999999,0.393,0.41,-0.01699999999999996,0.31,0.332,-0.02200000000000002
"Acuña Jr., Ronald","660670","2022","533","344",0.266,0.272,-0.006000000000000005,0.413,0.484,-0.07100000000000001,0.335,0.365,-0.02999999999999997
"Mateo, Jorge","622761","2022","533","352",0.221,0.222,-0.0010000000000000009,0.379,0.344,0.03500000000000003,0.281,0.272,0.009000000000000008
"Turner, Justin","457759","2022","532","387",0.278,0.267,0.01100000000000001,0.438,0.427,0.01100000000000001,0.343,0.339,0.0040000000000000036
"Kiner-Falefa, Isiah","643396","2022","531","419",0.261,0.262,-0.0010000000000000009,0.327,0.333,-0.006000000000000005,0.285,0.29,-0.0050000000000000044
"Pollock, AJ","572041","2022","527","395",0.245,0.258,-0.013000000000000012,0.389,0.419,-0.02999999999999997,0.297,0.317,-0.020000000000000018
"Grisham, Trent","663757","2022","524","310",0.184,0.205,-0.02099999999999999,0.341,0.358,-0.01699999999999996,0.28,0.296,-0.01599999999999996
"Renfroe, Hunter","592669","2022","522","358",0.255,0.24,0.015000000000000013,0.492,0.438,0.05399999999999999,0.347,0.323,0.023999999999999966
"Benintendi, Andrew","643217","2022","521","390",0.304,0.273,0.030999999999999972,0.399,0.407,-0.007999999999999952,0.342,0.334,0.008000000000000007
"Hoerner, Nico","663538","2022","517","426",0.281,0.27,0.01100000000000001,0.41,0.367,0.04299999999999998,0.32,0.301,0.019000000000000017
"Rengifo, Luis","650859","2022","511","411",0.264,0.254,0.010000000000000009,0.429,0.392,0.03699999999999998,0.314,0.296,0.018000000000000016
"Schoop, Jonathan","570731","2022","510","378",0.202,0.228,-0.025999999999999995,0.322,0.338,-0.016000000000000014,0.245,0.268,-0.02300000000000002
"Rojas, Josh","668942","2022","510","355",0.269,0.239,0.030000000000000027,0.391,0.361,0.030000000000000027,0.326,0.305,0.02100000000000002
"Ozuna, Marcell","542303","2022","507","352",0.226,0.256,-0.03,0.413,0.478,-0.065,0.298,0.337,-0.039000000000000035
"Cruz, Nelson","443558","2022","507","332",0.234,0.241,-0.0069999999999999785,0.337,0.399,-0.062,0.292,0.32,-0.028000000000000025
"Aguilar, Jesús","542583","2022","507","350",0.235,0.24,-0.0050000000000000044,0.379,0.393,-0.014000000000000012,0.288,0.298,-0.010000000000000009
"Rojas, Miguel","500743","2022","507","414",0.236,0.264,-0.028000000000000025,0.323,0.347,-0.023999999999999966,0.268,0.293,-0.024999999999999967
"Santana, Carlos","467793","2022","506","345",0.202,0.253,-0.05099999999999999,0.376,0.438,-0.062,0.308,0.352,-0.043999999999999984
"Marte, Starling","516782","2022","505","369",0.292,0.276,0.01599999999999996,0.468,0.428,0.040000000000000036,0.355,0.336,0.01899999999999996
"Dozier, Hunter","641531","2022","500","338",0.236,0.241,-0.0050000000000000044,0.387,0.387,0,0.298,0.301,-0.0030000000000000027
"Perdomo, Geraldo","672695","2022","500","342",0.195,0.213,-0.017999999999999988,0.262,0.282,-0.019999999999999962,0.253,0.269,-0.016000000000000014
"Trout, Mike","545361","2022","499","300",0.283,0.265,0.01799999999999996,0.63,0.583,0.04700000000000004,0.418,0.395,0.022999999999999965
"Naylor, Josh","647304","2022","498","374",0.256,0.257,-0.0010000000000000009,0.452,0.43,0.02200000000000002,0.331,0.327,0.0040000000000000036
"Wong, Kolten","543939","2022","497","349",0.251,0.235,0.016000000000000014,0.43,0.353,0.07700000000000001,0.336,0.305,0.031000000000000028
"Gurriel Jr., Lourdes","666971","2022","493","372",0.291,0.273,0.01799999999999996,0.4,0.4,0,0.327,0.321,0.006000000000000005
"Espinal, Santiago","669289","2022","491","385",0.267,0.263,0.0040000000000000036,0.37,0.348,0.02200000000000002,0.305,0.298,0.007000000000000006
"Peralta, David","444482","2022","490","331",0.251,0.249,0.0020000000000000018,0.415,0.399,0.01599999999999996,0.315,0.313,0.0020000000000000018
"Carlson, Dylan","666185","2022","488","342",0.236,0.234,0.001999999999999974,0.38,0.355,0.025000000000000022,0.306,0.301,0.0050000000000000044
"Contreras, Willson","575929","2022","487","315",0.243,0.256,-0.013000000000000012,0.466,0.463,0.0030000000000000027,0.357,0.364,-0.007000000000000006
"Miranda, Jose","669304","2022","483","354",0.268,0.253,0.015000000000000013,0.426,0.41,0.016000000000000014,0.329,0.317,0.01200000000000001
"Lopez, Nicky","670032","2022","480","384",0.227,0.243,-0.015999999999999986,0.273,0.312,-0.03899999999999998,0.251,0.273,-0.02200000000000002
