"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Semien, Marcus","543760","2019","747","556",0.285,0.272,0.012999999999999956,0.522,0.495,0.027000000000000024,0.373,0.363,0.010000000000000009
"Merrifield, Whit","593160","2019","735","559",0.302,0.281,0.020999999999999963,0.463,0.434,0.029000000000000026,0.34,0.325,0.015000000000000013
"Acuña Jr., Ronald","660670","2019","715","439",0.28,0.279,0.0010000000000000009,0.518,0.574,-0.05599999999999994,0.369,0.39,-0.02100000000000002
"Villar, Jonathan","542340","2019","714","472",0.274,0.246,0.028000000000000025,0.453,0.412,0.041000000000000036,0.335,0.315,0.020000000000000018
"Betts, Mookie","605141","2019","706","505",0.295,0.311,-0.016000000000000014,0.524,0.577,-0.052999999999999936,0.38,0.411,-0.030999999999999972
"Hoskins, Rhys","656555","2019","705","403",0.226,0.215,0.01100000000000001,0.454,0.417,0.03700000000000003,0.347,0.337,0.009999999999999953
"Polanco, Jorge","593871","2019","704","524",0.295,0.271,0.023999999999999966,0.485,0.464,0.020999999999999963,0.352,0.341,0.010999999999999954
"Albies, Ozzie","645277","2019","702","532",0.295,0.282,0.013000000000000012,0.5,0.482,0.018000000000000016,0.354,0.346,0.008000000000000007
"Devers, Rafael","646240","2019","702","531",0.311,0.298,0.013000000000000012,0.555,0.526,0.029000000000000026,0.377,0.367,0.010000000000000009
"Escobar, Eduardo","500871","2019","699","516",0.269,0.254,0.015000000000000013,0.511,0.464,0.046999999999999986,0.341,0.326,0.015000000000000013
"Bogaerts, Xander","593428","2019","698","498",0.309,0.274,0.034999999999999976,0.555,0.477,0.07800000000000007,0.39,0.356,0.03400000000000003
"Alonso, Pete","624413","2019","693","417",0.26,0.257,0.0030000000000000027,0.583,0.551,0.03199999999999992,0.384,0.38,0.0040000000000000036
"Abreu, José","547989","2019","693","492",0.284,0.279,0.004999999999999949,0.503,0.517,-0.014000000000000012,0.344,0.358,-0.014000000000000012
"Freeman, Freddie","518692","2019","692","472",0.295,0.294,0.0010000000000000009,0.549,0.569,-0.019999999999999907,0.387,0.397,-0.010000000000000009
"Bregman, Alex","608324","2019","690","479",0.296,0.263,0.032999999999999974,0.592,0.453,0.13899999999999996,0.418,0.373,0.044999999999999984
"Santana, Carlos","467793","2019","686","467",0.281,0.266,0.015000000000000013,0.515,0.48,0.03500000000000003,0.38,0.367,0.013000000000000012
"Harper, Bryce","547180","2019","682","399",0.26,0.273,-0.013000000000000012,0.51,0.547,-0.03700000000000003,0.365,0.387,-0.02200000000000002
"Goldschmidt, Paul","502671","2019","682","434",0.26,0.257,0.0030000000000000027,0.476,0.509,-0.03300000000000003,0.346,0.359,-0.013000000000000012
"Mancini, Trey","641820","2019","679","464",0.291,0.277,0.013999999999999957,0.535,0.503,0.03200000000000003,0.373,0.362,0.01100000000000001
"Soler, Jorge","624585","2019","679","415",0.265,0.276,-0.01100000000000001,0.569,0.595,-0.026000000000000023,0.378,0.396,-0.018000000000000016
"Castro, Starlin","516770","2019","676","534",0.27,0.268,0.0020000000000000018,0.436,0.435,0.0010000000000000009,0.307,0.314,-0.007000000000000006
"Chapman, Matt","656305","2019","670","439",0.249,0.251,-0.0020000000000000018,0.506,0.502,0.0040000000000000036,0.354,0.359,-0.0050000000000000044
"Hernández, César","514917","2019","667","516",0.279,0.264,0.015000000000000013,0.408,0.375,0.032999999999999974,0.315,0.302,0.013000000000000012
"Hosmer, Eric","543333","2019","667","461",0.265,0.249,0.016000000000000014,0.425,0.411,0.014000000000000012,0.309,0.304,0.0050000000000000044
"DeJong, Paul","657557","2019","664","440",0.233,0.237,-0.003999999999999976,0.444,0.446,-0.0020000000000000018,0.322,0.331,-0.009000000000000008
"Castellanos, Nick","592206","2019","664","475",0.289,0.278,0.010999999999999954,0.525,0.54,-0.015000000000000013,0.357,0.363,-0.006000000000000005
"Suárez, Eugenio","553993","2019","662","392",0.271,0.247,0.02400000000000002,0.572,0.5,0.07199999999999995,0.381,0.355,0.026000000000000023
"Arenado, Nolan","571448","2019","662","503",0.315,0.27,0.044999999999999984,0.583,0.48,0.10299999999999998,0.392,0.343,0.04899999999999999
"Machado, Manny","592518","2019","661","462",0.256,0.265,-0.009000000000000008,0.462,0.467,-0.0050000000000000044,0.335,0.346,-0.010999999999999954
