"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Ozuna, Marcell","542303","2020","267","169",0.338,0.313,0.025000000000000022,0.636,0.635,0.0010000000000000009,0.444,0.436,0.008000000000000007
"Lindor, Francisco","596019","2020","266","197",0.258,0.279,-0.02100000000000002,0.415,0.441,-0.026000000000000023,0.324,0.346,-0.021999999999999964
"Biggio, Cavan","624415","2020","265","159",0.25,0.214,0.036000000000000004,0.432,0.343,0.08899999999999997,0.355,0.315,0.03999999999999998
"Merrifield, Whit","593160","2020","265","216",0.282,0.292,-0.010000000000000009,0.44,0.439,0.0010000000000000009,0.329,0.336,-0.007000000000000006
"Swanson, Dansby","621020","2020","264","167",0.274,0.267,0.007000000000000006,0.464,0.474,-0.009999999999999953,0.348,0.354,-0.006000000000000005
"Freeman, Freddie","518692","2020","262","177",0.341,0.343,-0.0020000000000000018,0.64,0.663,-0.02300000000000002,0.456,0.466,-0.010000000000000009
"Abreu, José","547989","2020","262","182",0.317,0.299,0.018000000000000016,0.617,0.587,0.030000000000000027,0.411,0.399,0.011999999999999955
"Hernández, César","514917","2020","261","177",0.283,0.273,0.009999999999999953,0.408,0.396,0.011999999999999955,0.335,0.33,0.0050000000000000044
"Story, Trevor","596115","2020","259","172",0.289,0.253,0.035999999999999976,0.519,0.457,0.062,0.37,0.335,0.034999999999999976
"Turner, Trea","607208","2020","259","199",0.335,0.303,0.03200000000000003,0.588,0.515,0.07299999999999995,0.413,0.383,0.02999999999999997
"Tatis Jr., Fernando","665487","2020","257","164",0.277,0.297,-0.019999999999999962,0.571,0.614,-0.04300000000000004,0.392,0.422,-0.02999999999999997
"Santana, Carlos","467793","2020","255","164",0.199,0.251,-0.05199999999999999,0.35,0.448,-0.09800000000000003,0.316,0.372,-0.055999999999999994
"Ramírez, José","608070","2020","254","177",0.292,0.264,0.02799999999999997,0.607,0.507,0.09999999999999998,0.415,0.373,0.04199999999999998
"Machado, Manny","592518","2020","254","191",0.304,0.304,0,0.58,0.545,0.03499999999999992,0.391,0.388,0.0030000000000000027
"Grisham, Trent","663757","2020","252","153",0.251,0.266,-0.015000000000000013,0.456,0.482,-0.025999999999999968,0.349,0.368,-0.019000000000000017
"Marte, Starling","516782","2020","250","188",0.281,0.264,0.017000000000000015,0.43,0.42,0.010000000000000009,0.333,0.326,0.007000000000000006
"Seager, Kyle","572122","2020","248","176",0.241,0.252,-0.01100000000000001,0.433,0.472,-0.03899999999999998,0.338,0.365,-0.02699999999999997
"Muncy, Max","571970","2020","248","145",0.192,0.229,-0.037000000000000005,0.389,0.473,-0.08399999999999996,0.316,0.36,-0.043999999999999984
"Devers, Rafael","646240","2020","248","165",0.263,0.256,0.007000000000000006,0.483,0.46,0.022999999999999965,0.337,0.328,0.009000000000000008
"Yelich, Christian","592885","2020","247","124",0.205,0.25,-0.04500000000000001,0.43,0.473,-0.04299999999999998,0.343,0.378,-0.034999999999999976
"Blackmon, Charlie","453568","2020","247","182",0.303,0.276,0.02699999999999997,0.448,0.426,0.02200000000000002,0.34,0.331,0.009000000000000008
"Betts, Mookie","605141","2020","246","182",0.292,0.283,0.009000000000000008,0.562,0.485,0.07700000000000007,0.39,0.362,0.028000000000000025
"Hiura, Keston","669374","2020","246","134",0.212,0.21,0.0020000000000000018,0.41,0.435,-0.025000000000000022,0.304,0.318,-0.014000000000000012
"Olson, Matt","621566","2020","245","133",0.195,0.224,-0.028999999999999998,0.424,0.453,-0.029000000000000026,0.316,0.34,-0.02400000000000002
"Harper, Bryce","547180","2020","244","150",0.268,0.308,-0.03999999999999998,0.542,0.658,-0.11599999999999999,0.4,0.454,-0.05399999999999999
"Guerrero Jr., Vladimir","665489","2020","243","183",0.262,0.268,-0.006000000000000005,0.462,0.446,0.016000000000000014,0.338,0.338,0
"Rizzo, Anthony","519203","2020","243","167",0.222,0.266,-0.04400000000000001,0.414,0.413,0.0010000000000000009,0.326,0.355,-0.02899999999999997
"Walker, Christian","572233","2020","243","171",0.271,0.266,0.0050000000000000044,0.459,0.454,0.0050000000000000044,0.339,0.339,0
"Canha, Mark","592192","2020","243","142",0.246,0.241,0.0050000000000000044,0.408,0.415,-0.007000000000000006,0.351,0.359,-0.008000000000000007
"Franco, Maikel","596748","2020","243","189",0.278,0.256,0.02200000000000002,0.457,0.398,0.059,0.329,0.307,0.02200000000000002
"Bellinger, Cody","641355","2020","243","171",0.239,0.284,-0.044999999999999984,0.455,0.494,-0.03899999999999998,0.337,0.374,-0.03699999999999998
"Lewis, Kyle","641786","2020","242","137",0.262,0.239,0.02300000000000002,0.437,0.433,0.0040000000000000036,0.349,0.344,0.0050000000000000044
"Castellanos, Nick","592206","2020","242","150",0.225,0.274,-0.049000000000000016,0.486,0.545,-0.05900000000000005,0.329,0.375,-0.045999999999999985
"Reyes, Franmil","614177","2020","241","147",0.275,0.245,0.030000000000000027,0.45,0.442,0.008000000000000007,0.341,0.342,-0.0010000000000000009
"Trout, Mike","545361","2020","241","147",0.281,0.291,-0.009999999999999953,0.603,0.612,-0.009000000000000008,0.407,0.428,-0.02100000000000002
"McCutchen, Andrew","457705","2020","241","170",0.253,0.276,-0.02300000000000002,0.433,0.484,-0.05099999999999999,0.327,0.358,-0.030999999999999972
"Alonso, Pete","624413","2020","239","148",0.231,0.225,0.006000000000000005,0.49,0.463,0.02699999999999997,0.342,0.334,0.008000000000000007
